"Ward","Street","Occupancy (%)","Bay Type","No. Bays"
"Hyde Park","Connaught Place",74.5,"Resident Bay","10"
"Hyde Park","Connaught Place",NA,"Pay by Phone Bay",NA
"Hyde Park","Connaught Square",81.9,"Resident Bay","69"
"Hyde Park","Connaught Square",81.8,"Pay by Phone Bay","5"
"Hyde Park","Connaught Street",44.9,"Pay by Phone Bay","7"
"Hyde Park","Connaught Street",82.6,"Resident Bay","21"
"Queen's Park","Coomassie Road",81.5,"Shared Use Bay","6"
"Queen's Park","Coomassie Road",100,"Resident Bay","2"
"West End","Cork Street",12.6,"Pay by Phone Bay","12"
"Church Street","Corlett Street",100,"Resident Bay","2"
"Church Street","Cosway Street",81.5,"Pay by Phone Bay","3"
"Church Street","Cosway Street",86,"Resident Bay","28"
"Bayswater","Courtnell Street",66.3,"Pay by Phone Bay","3"
"Bayswater","Courtnell Street",76.2,"Shared Use Bay","7"
"Bayswater","Courtnell Street",84.3,"Resident Bay","40"
"Marylebone High Street","Cramer Street",54.5,"Pay by Phone Bay","1"
"Marylebone High Street","Cramer Street",72.7,"Resident Bay","1"
"Lancaster Gate","Craven Hill",77.3,"Pay by Phone Bay","2"
"Lancaster Gate","Craven Hill",40.9,"Resident Bay","11"
"Lancaster Gate","Craven Hill Gardens",47.9,"Resident Bay","36"
"Lancaster Gate","Craven Hill Gardens",33.3,"Pay by Phone Bay","7"
"Lancaster Gate","Craven Hill Gardens",87.6,"Shared Use Bay","6"
"Lancaster Gate","Craven Road",56.4,"Pay by Phone Bay","5"
"St. James's","Craven Street",78.6,"Resident Bay","16"
"Lancaster Gate","Craven Terrace",94.7,"Resident Bay","9"
"Lancaster Gate","Craven Terrace",63.1,"Pay by Phone Bay","9"
"Bryanston and Dorset Square","Crawford Place",90.7,"Resident Bay","3"
"Bryanston and Dorset Square","Crawford Place",86.4,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","Crawford Street",61.3,"Pay by Phone Bay","9"
"Bryanston and Dorset Square","Crawford Street",79.1,"Resident Bay","15"
"Marylebone High Street","Crawford Street",61.3,"Pay by Phone Bay","9"
"Little Venice","Crompton Street",92.9,"Resident Bay","8"
"Marylebone High Street","Cross Keys Close",70.5,"Resident Bay","4"
"Harrow Road","Croxley Road",45.5,"Pay by Phone Bay","2"
"Harrow Road","Croxley Road",66.5,"Shared Use Bay","6"
"Harrow Road","Croxley Road",69.2,"Resident Bay","47"
"West End","Culross Street",20,"Pay by Phone Bay","5"
"West End","Culross Street",47.5,"Resident Bay","8"
"Regent's Park","Culworth Street",99.7,"Pay by Phone Bay","3"
"Regent's Park","Culworth Street",90.9,"Resident Bay","18"
"Warwick","Cumberland Street",76.6,"Resident Bay","84"
"Churchill","Cundy Street",77.1,"Resident Bay","11"
"Regent's Park","Cunningham Place",95.2,"Resident Bay","32"
"Church Street","Cunningham Place",95.2,"Resident Bay","32"
"Vincent Square","Cureton Street",64.6,"Resident Bay","26"
"West End","Curzon Street",65.3,"Resident Bay","18"
"West End","Curzon Street",57,"Pay by Phone Bay","31"
"Little Venice","Cuthbert Street",100,"Resident Bay","3"
"Little Venice","Cuthbert Street",NA,"Pay by Phone Bay",NA
"West End","Darblay Street",84.1,"Resident Bay","4"
"Queen's Park","Dart Street",71.2,"Shared Use Bay","11"
"Queen's Park","Dart Street",83.4,"Resident Bay","23"
"Church Street","Daventry Street",73.2,"Resident Bay","12"
"Marylebone High Street","David Mews",95.5,"Resident Bay","4"
"West End","Davies Mews",56.8,"Resident Bay","4"
"West End","Davies Street",66.3,"Resident Bay","26"
"West End","Davies Street",65,"Pay by Phone Bay","15"
"Lancaster Gate","Dawson Place",81.5,"Resident Bay","12"
"Bayswater","Dawson Place",81.5,"Resident Bay","12"
"Marylebone High Street","De Walden Street",93.6,"Resident Bay","10"
"St. James's","Dean Bradley Street",55.5,"Pay by Phone Bay","7"
"Vincent Square","Dean Ryle Street",81.9,"Resident Bay","18"
"St. James's","Dean Stanley Street",63,"Pay by Phone Bay","6"
"West End","Dean Street",86.4,"Pay by Phone Bay","10"
"West End","Dean Street",98.3,"Resident Bay","14"
"West End","Dean Street",72.5,"Shared Use Bay","6"
"St. James's","Dean Trench Street",76.9,"Resident Bay","6"
"St. James's","Dean Trench Street",42.1,"Pay by Phone Bay","6"
"West End","Deanery Street",79.5,"Pay by Phone Bay","4"
"Westbourne","Delamere Terrace",82.3,"Resident Bay","29"
"Westbourne","Delamere Terrace",57.5,"Pay by Phone Bay","6"
"Little Venice","Delaware Road",52.7,"Resident Bay","63"
"Little Venice","Delaware Road",37.9,"Shared Use Bay","57"
"Maida Vale","Delaware Road",52.7,"Resident Bay","63"
"Maida Vale","Delaware Road",37.9,"Shared Use Bay","57"
"Maida Vale","Delaware Road",22.1,"Pay by Phone Bay","11"
"Warwick","Denbigh Place",80.7,"Resident Bay","33"
"Warwick","Denbigh Place",81.8,"Pay by Phone Bay","4"
"Warwick","Denbigh Street",75.3,"Pay by Phone Bay","11"
"Warwick","Denbigh Street",79.2,"Resident Bay","74"
"Tachbrook","Denbigh Street",79.2,"Resident Bay","74"
"Tachbrook","Denbigh Street",75.3,"Pay by Phone Bay","11"
"Tachbrook","Denbigh Street",72.6,"Shared Use Bay","8"
"Harrow Road","Denholme Road",62.4,"Resident Bay","47"
"Harrow Road","Denholme Road",NA,"Pay by Phone Bay",NA
"Marylebone High Street","Devonshire Close",88.1,"Resident Bay","7"
"Marylebone High Street","Devonshire Mews North",95.5,"Resident Bay","2"
"Marylebone High Street","Devonshire Mews West",81.8,"Resident Bay","5"
"Marylebone High Street","Devonshire Place",57.1,"Shared Use Bay","67"
"Marylebone High Street","Devonshire Place Mews",70.9,"Resident Bay","5"
"Marylebone High Street","Devonshire Street",37.5,"Pay by Phone Bay","50"
"Marylebone High Street","Devonshire Street",75.3,"Resident Bay","30"
"Lancaster Gate","Devonshire Terrace",70.5,"Pay by Phone Bay","4"
"Lancaster Gate","Devonshire Terrace",67.3,"Resident Bay","35"
"Bryanston and Dorset Square","Dorset Square",84.9,"Resident Bay","40"
"Bryanston and Dorset Square","Dorset Square",79.8,"Pay by Phone Bay","17"
"Bryanston and Dorset Square","Dorset Square",68.4,"Shared Use Bay","7"
"Marylebone High Street","Dorset Street",71.4,"Pay by Phone Bay","15"
"Marylebone High Street","Dorset Street",86.2,"Resident Bay","8"
"Marylebone High Street","Dorset Street",79.4,"Shared Use Bay","8"
"Vincent Square","Douglas Street",63.3,"Pay by Phone Bay","7"
"Vincent Square","Douglas Street",74,"Resident Bay","12"
"West End","Dover Street",51.3,"Pay by Phone Bay","21"
"Queen's Park","Dowland Street",86.9,"Resident Bay","13"
"West End","Down Street",96.9,"Pay by Phone Bay","3"
"West End","Down Street",84.1,"Resident Bay","4"
"Westbourne","Downfield Close",NA,"Resident Bay",NA
"Westbourne","Downfield Close",NA,"Shared Use Bay",NA
"Queen's Park","Droop Street",82.7,"Resident Bay","48"
"Queen's Park","Droop Street",70,"Shared Use Bay","35"
"St. James's","Drury Lane",78,"Pay by Phone Bay","11"
"St. James's","Drury Lane",72.9,"Resident Bay","15"
"West End","Duchess Mews",90.9,"Resident Bay","2"
"West End","Duchess Street",48.3,"Resident Bay","11"
"West End","Duchess Street",37.6,"Pay by Phone Bay","11"
"St. James's","Duke Of York Street",59.8,"Resident Bay","8"
"West End","Duke Street",66.3,"Pay by Phone Bay","23"
"Marylebone High Street","Duke Street",66.3,"Pay by Phone Bay","23"
"St. James's","Duke Street St Jamess",78.9,"Pay by Phone Bay","7"
"West End","Dukes Yard",27.3,"Resident Bay","5"
"West End","Dunraven Street",42.5,"Pay by Phone Bay","7"
"West End","Dunraven Street",77.3,"Resident Bay","20"
"Marylebone High Street","Dunstable Mews",100,"Resident Bay","1"
"Bayswater","Durham Terrace",73.3,"Resident Bay","35"
"Marylebone High Street","Durweston Mews",45.1,"Resident Bay","3"
"Regent's Park","Eamont Street",87.6,"Resident Bay","19"
"Regent's Park","Eamont Street",81.5,"Pay by Phone Bay","3"
"Regent's Park","Eamont Street",82.1,"Shared Use Bay","12"
"Hyde Park","Eastbourne Terrace",NA,"Resident Bay",NA
"Hyde Park","Eastbourne Terrace",NA,"Pay by Phone Bay",NA
"West End","Eastcastle Street",79.9,"Pay by Phone Bay","17"
"West End","Eastcastle Street",78.7,"Resident Bay","18"
"Knightsbridge and Belgravia","Eaton Gate",46.4,"Resident Bay","10"
"St. James's","Eaton Lane",56.5,"Pay by Phone Bay","8"
"Knightsbridge and Belgravia","Eaton Place",62.7,"Resident Bay","145"
"Knightsbridge and Belgravia","Eaton Square",34.5,"Pay by Phone Bay","25"
"Knightsbridge and Belgravia","Eaton Square",53.5,"Resident Bay","302"
"Knightsbridge and Belgravia","Eaton Square",19.8,"Shared Use Bay","73"
"Knightsbridge and Belgravia","Eaton Terrace",86.4,"Pay by Phone Bay","2"
"Knightsbridge and Belgravia","Eaton Terrace",66.4,"Shared Use Bay","6"
"Knightsbridge and Belgravia","Eaton Terrace",78.9,"Resident Bay","72"
"Churchill","Eaton Terrace",78.9,"Resident Bay","72"
"Churchill","Ebury Bridge Road",93.2,"Shared Use Bay","4"
"Churchill","Ebury Bridge Road",77.7,"Resident Bay","12"
"Churchill","Ebury Square",76.7,"Resident Bay","14"
"Churchill","Ebury Square",78.7,"Shared Use Bay","7"
"Knightsbridge and Belgravia","Ebury Street",68.4,"Resident Bay","108"
"Knightsbridge and Belgravia","Ebury Street",72.3,"Pay by Phone Bay","7"
"Knightsbridge and Belgravia","Ebury Street",81.3,"Shared Use Bay","14"
"Churchill","Ebury Street",68.4,"Resident Bay","108"
"Churchill","Ebury Street",81.3,"Shared Use Bay","14"
"Churchill","Ebury Street",72.3,"Pay by Phone Bay","7"
"Warwick","Ebury Street",68.4,"Resident Bay","108"
"Warwick","Ebury Street",72.3,"Pay by Phone Bay","7"
"Warwick","Ebury Street",81.3,"Shared Use Bay","14"
"Warwick","Eccleston Place",58.7,"Resident Bay","6"
"Warwick","Eccleston Place",38.1,"Pay by Phone Bay","15"
"Warwick","Eccleston Square",60.9,"Resident Bay","137"
"Warwick","Eccleston Square",NA,"Shared Use Bay",NA
"Warwick","Eccleston Square",59.1,"Pay by Phone Bay","2"
"Knightsbridge and Belgravia","Eccleston Street",35.5,"Pay by Phone Bay","36"
"Knightsbridge and Belgravia","Eccleston Street",58.7,"Resident Bay","6"
"Warwick","Eccleston Street",35.5,"Pay by Phone Bay","36"
"Harrow Road","Edbrooke Road",63.6,"Pay by Phone Bay","5"
"Harrow Road","Edbrooke Road",70.5,"Resident Bay","69"
"Hyde Park","Edgware Road",81.5,"Shared Use Bay","8"
"Harrow Road","Elgin Avenue",67.5,"Shared Use Bay","34"
"Harrow Road","Elgin Avenue",82.7,"Pay by Phone Bay","18"
"Harrow Road","Elgin Avenue",73.5,"Resident Bay","224"
"Maida Vale","Elgin Avenue",67.5,"Shared Use Bay","34"
"Maida Vale","Elgin Avenue",82.7,"Pay by Phone Bay","18"
"Maida Vale","Elgin Avenue",73.5,"Resident Bay","224"
"Knightsbridge and Belgravia","Elizabeth Street",52.3,"Pay by Phone Bay","23"
"Knightsbridge and Belgravia","Elizabeth Street",55.6,"Resident Bay","11"
"Churchill","Elizabeth Street",52.3,"Pay by Phone Bay","23"
"Warwick","Elizabeth Street",52.3,"Pay by Phone Bay","23"
"Regent's Park","Elm Tree Road",100,"Resident Bay","23"
"Regent's Park","Elm Tree Road",66.4,"Pay by Phone Bay","6"
"St. James's","Elverton Street",28.1,"Pay by Phone Bay","8"
"St. James's","Elverton Street",22.5,"Resident Bay","8"
"Vincent Square","Elverton Street",22.5,"Resident Bay","8"
"Vincent Square","Emery Hill Street",80.2,"Resident Bay","19"
"Vincent Square","Emery Hill Street",100,"Pay by Phone Bay","1"
"Queen's Park","Enbrook Street",43.6,"Shared Use Bay","5"
"Queen's Park","Enbrook Street",50.4,"Resident Bay","55"
"St. James's","Endell Street",74.5,"Resident Bay","20"
"Bryanston and Dorset Square","Enford Street",72.7,"Resident Bay","2"
"Knightsbridge and Belgravia","Ennismore Gardens",60.7,"Resident Bay","168"
"Knightsbridge and Belgravia","Ennismore Gardens",77,"Pay by Phone Bay","6"
"Knightsbridge and Belgravia","Ennismore Gardens Mews",77.3,"Resident Bay","2"
"Knightsbridge and Belgravia","Ennismore Street",87.6,"Resident Bay","6"
"Vincent Square","Erasmus Street",70.6,"Resident Bay","62"
"Harrow Road","Errington Road",70.9,"Resident Bay","25"
"Maida Vale","Essendine Road",69.9,"Resident Bay","62"
"Maida Vale","Essendine Road",72.7,"Pay by Phone Bay","4"
"Maida Vale","Essendine Road",74.5,"Shared Use Bay","17"
"St. James's","Essex Street",41.5,"Pay by Phone Bay","13"
"Vincent Square","Esterbrooke Street",48.1,"Pay by Phone Bay","3"
"Vincent Square","Esterbrooke Street",88.4,"Resident Bay","8"
"St. James's","Exeter Street",31.8,"Pay by Phone Bay","4"
"St. James's","Exeter Street",69.6,"Resident Bay","3"
"Knightsbridge and Belgravia","Exhibition Road",56,"Resident Bay","35"
"Knightsbridge and Belgravia","Fairholt Street",80,"Resident Bay","6"
"West End","Farm Street",72.7,"Resident Bay","17"
"West End","Farm Street",51,"Pay by Phone Bay","3"
"Harrow Road","Fermoy Road",72.3,"Pay by Phone Bay","9"
"Harrow Road","Fermoy Road",76.2,"Resident Bay","73"
"Harrow Road","Fernhead Road",58.8,"Pay by Phone Bay","21"
"Harrow Road","Fernhead Road",64.5,"Shared Use Bay","14"
"Harrow Road","Fernhead Road",62.7,"Resident Bay","135"
"Queen's Park","Fernhead Road",58.8,"Pay by Phone Bay","21"
"Queen's Park","Fernhead Road",62.7,"Resident Bay","135"
"Queen's Park","Fernhead Road",64.5,"Shared Use Bay","14"
"Queen's Park","Fifth Avenue",78.5,"Shared Use Bay","15"
"Queen's Park","Fifth Avenue",61.1,"Resident Bay","97"
"Abbey Road","Finchley Place",80.3,"Resident Bay","7"
"Queen's Park","First Avenue",51.5,"Resident Bay","37"
"Queen's Park","First Avenue",64.2,"Shared Use Bay","17"
"Church Street","Fisherton Street",81.5,"Resident Bay","44"
"Marylebone High Street","Fitzhardinge Street",47,"Resident Bay","23"
"West End","Fitzmaurice Place",NA,"Pay by Phone Bay",NA
"St. James's","Floral Street",69.5,"Resident Bay","3"
"West End","Foley Street",72.2,"Pay by Phone Bay","13"
"West End","Foley Street",94.5,"Resident Bay","12"
"Harrow Road","Fordingley Road",63.2,"Resident Bay","59"
"Harrow Road","Fordingley Road",54.3,"Pay by Phone Bay","6"
"Westbourne","Formosa Street",93.5,"Resident Bay","46"
"Little Venice","Formosa Street",72.3,"Pay by Phone Bay","7"
"Little Venice","Formosa Street",93.5,"Resident Bay","46"
"Bryanston and Dorset Square","Forset Street",70.5,"Resident Bay","4"
"Westbourne","Foscote Mews",85.5,"Pay by Phone Bay","5"
"Queen's Park","Fourth Avenue",45,"Shared Use Bay","6"
"Queen's Park","Fourth Avenue",47.9,"Resident Bay","41"
"Church Street","Frampton Street",81.5,"Resident Bay","25"
"Church Street","Frampton Street",87.2,"Shared Use Bay","13"
"Church Street","Frampton Street",NA,"Pay by Phone Bay",NA
"Vincent Square","Francis Street",70.9,"Resident Bay","55"
"Vincent Square","Francis Street",67.8,"Pay by Phone Bay","12"
"West End","Frith Street",76.9,"Resident Bay","11"
"West End","Frith Street",86.7,"Pay by Phone Bay","7"
"St. James's","Fynes Street",100,"Resident Bay","5"
"Vincent Square","Fynes Street",95.5,"Pay by Phone Bay","2"
"Vincent Square","Fynes Street",100,"Resident Bay","5"
"Queen's Park","Galton Street",69.1,"Shared Use Bay","5"
"Queen's Park","Galton Street",58.5,"Resident Bay","48"
"Abbey Road","Garden Road",87.3,"Resident Bay","5"
"St. James's","Garrick Street",82.5,"Resident Bay","16"
"St. James's","Garrick Street",88.6,"Pay by Phone Bay","4"
"Lancaster Gate","Garway Road",89.2,"Resident Bay","7"
"Lancaster Gate","Garway Road",NA,"Pay by Phone Bay",NA
"Bayswater","Garway Road",89.2,"Resident Bay","7"
"Bayswater","Garway Road",NA,"Pay by Phone Bay",NA
"Church Street","Gateforth Street",74.5,"Resident Bay","5"
"St. James's","Gayfere Street",79.9,"Resident Bay","6"
"St. James's","Gayfere Street",52.3,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","George Street",70.5,"Resident Bay","36"
"Bryanston and Dorset Square","George Street",69.3,"Pay by Phone Bay","24"
"Marylebone High Street","George Street",69.3,"Pay by Phone Bay","24"
"Marylebone High Street","George Street",70.5,"Resident Bay","36"
"Marylebone High Street","George Street",73,"Shared Use Bay","15"
"West End","George Yard",50,"Resident Bay","9"
"Knightsbridge and Belgravia","Gerald Road",51.6,"Resident Bay","15"
"West End","Gilbert Street",63.5,"Resident Bay","8"
"West End","Gilbert Street",39.5,"Pay by Phone Bay","8"
"West End","Gildea Street",57.3,"Pay by Phone Bay","3"
"Warwick","Gillingham Street",72.2,"Pay by Phone Bay","13"
"Warwick","Gillingham Street",78.5,"Resident Bay","6"
"West End","Glasshouse Street",0,"Pay by Phone Bay","3"
"West End","Glasshouse Street",0,"Resident Bay","1"
"Bryanston and Dorset Square","Glentworth Street",87.8,"Resident Bay","60"
"Bryanston and Dorset Square","Glentworth Street",78.7,"Pay by Phone Bay","6"
"Hyde Park","Gloucester Mews",75.1,"Resident Bay","19"
"Lancaster Gate","Gloucester Mews West",52.9,"Resident Bay","16"
"Bryanston and Dorset Square","Gloucester Place",88.5,"Resident Bay","19"
"Bryanston and Dorset Square","Gloucester Place",81.8,"Pay by Phone Bay","2"
"Marylebone High Street","Gloucester Place",88.5,"Resident Bay","19"
"Marylebone High Street","Gloucester Place",81.8,"Pay by Phone Bay","2"
"Hyde Park","Gloucester Square",49.6,"Resident Bay","80"
"Hyde Park","Gloucester Square",63.6,"Pay by Phone Bay","2"
"Warwick","Gloucester Street",86.3,"Resident Bay","95"
"Warwick","Gloucester Street",60.4,"Pay by Phone Bay","3"
"Lancaster Gate","Gloucester Terrace",74.2,"Resident Bay","152"
"Lancaster Gate","Gloucester Terrace",97.9,"Shared Use Bay","9"
"Hyde Park","Gloucester Terrace",74.2,"Resident Bay","152"
"Hyde Park","Gloucester Terrace",97.9,"Shared Use Bay","9"
"Hyde Park","Gloucester Terrace",90.8,"Pay by Phone Bay","3"
"Bayswater","Gloucester Terrace",74.2,"Resident Bay","152"
"Bayswater","Gloucester Terrace",90.8,"Pay by Phone Bay","3"
"West End","Golden Square",91.4,"Pay by Phone Bay","20"
"West End","Golden Square",67.5,"Resident Bay","21"
"Harrow Road","Goldney Road",100,"Pay by Phone Bay","2"
"Harrow Road","Goldney Road",73.8,"Resident Bay","70"
"West End","Gosfield Street",60,"Resident Bay","17"
"West End","Grafton Street",24,"Pay by Phone Bay","3"
"West End","Grafton Street",NA,"Resident Bay",NA
"Knightsbridge and Belgravia","Graham Terrace",59.1,"Pay by Phone Bay","4"
"Knightsbridge and Belgravia","Graham Terrace",75.1,"Resident Bay","50"
"Churchill","Graham Terrace",59.1,"Pay by Phone Bay","4"
"Churchill","Graham Terrace",75.1,"Resident Bay","50"
"Maida Vale","Grantully Road",48.5,"Resident Bay","117"
"Maida Vale","Grantully Road",40.9,"Shared Use Bay","22"
"Marylebone High Street","Granville Place",69.1,"Pay by Phone Bay","5"
"West End","Great Castle Street",75,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","Great Central Street",32.7,"Resident Bay","10"
"Bryanston and Dorset Square","Great Central Street",0,"Pay by Phone Bay","1"
"St. James's","Great College Street",54.5,"Pay by Phone Bay","5"
"St. James's","Great College Street",62.3,"Resident Bay","11"
"Bryanston and Dorset Square","Great Cumberland Mews",94.5,"Resident Bay","5"
"Bryanston and Dorset Square","Great Cumberland Place",52.4,"Pay by Phone Bay","11"
"Bryanston and Dorset Square","Great Cumberland Place",73.2,"Resident Bay","18"
"West End","Great Marlborough Street",86.3,"Pay by Phone Bay","9"
"West End","Great Marlborough Street",72.3,"Resident Bay","11"
"St. James's","Great Newport Street",90.9,"Resident Bay","5"
"St. James's","Great Newport Street",NA,"Pay by Phone Bay",NA
"St. James's","Great Peter Street",73,"Resident Bay","52"
"St. James's","Great Peter Street",50.9,"Pay by Phone Bay","14"
"West End","Great Portland Street",52.1,"Pay by Phone Bay","13"
"West End","Great Portland Street",88.2,"Shared Use Bay","10"
"West End","Great Portland Street",54.2,"Resident Bay","3"
"Marylebone High Street","Great Portland Street",52.1,"Pay by Phone Bay","13"
"West End","Great Pulteney Street",79.4,"Resident Bay","9"
"West End","Great Pulteney Street",85.5,"Pay by Phone Bay","5"
"West End","Great Titchfield Street",57.3,"Pay by Phone Bay","6"
"West End","Great Titchfield Street",74.6,"Resident Bay","56"
"West End","Great Titchfield Street",80.3,"Shared Use Bay","15"
"Marylebone High Street","Great Titchfield Street",74.6,"Resident Bay","56"
"Marylebone High Street","Great Titchfield Street",57.3,"Pay by Phone Bay","6"
"Westbourne","Great Western Road",95.8,"Resident Bay","48"
"West End","Greek Street",45.1,"Resident Bay","13"
"West End","Greek Street",83.9,"Pay by Phone Bay","8"
"West End","Green Street",69.3,"Resident Bay","41"
"West End","Green Street",25,"Pay by Phone Bay","9"
"Regent's Park","Greenberry Street",83.2,"Resident Bay","23"
"Vincent Square","Greencoat Place",85.6,"Resident Bay","21"
"Vincent Square","Greencoat Row",47.7,"Pay by Phone Bay","4"
"Marylebone High Street","Greenwell Street",100,"Resident Bay","3"
"Church Street","Grendon Street",85.7,"Resident Bay","14"
"Church Street","Grendon Street",100,"Shared Use Bay","6"
"Abbey Road","Greville Place",88.1,"Resident Bay","33"
"Abbey Road","Greville Road",75.4,"Resident Bay","17"
"Abbey Road","Greville Road",NA,"Pay by Phone Bay",NA
"St. James's","Greycoat Place",84.1,"Resident Bay","4"
"St. James's","Greycoat Street",47.6,"Resident Bay","17"
"Vincent Square","Greycoat Street",47.6,"Resident Bay","17"
"Harrow Road","Grittleton Road",60.1,"Pay by Phone Bay","3"
"Harrow Road","Grittleton Road",62.8,"Resident Bay","32"
"Knightsbridge and Belgravia","Groom Place",83.6,"Resident Bay","5"
"Knightsbridge and Belgravia","Grosvenor Crescent",60.3,"Resident Bay","22"
"Knightsbridge and Belgravia","Grosvenor Crescent",45.5,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Grosvenor Crescent",9.7,"Shared Use Bay","12"
"Knightsbridge and Belgravia","Grosvenor Gardens",51.5,"Pay by Phone Bay","3"
"Warwick","Grosvenor Gardens",51.5,"Pay by Phone Bay","3"
"West End","Grosvenor Hill",56.5,"Resident Bay","12"
"Churchill","Grosvenor Road",90.7,"Resident Bay","3"
"Churchill","Grosvenor Road",52,"Shared Use Bay","18"
"Tachbrook","Grosvenor Road",52,"Shared Use Bay","18"
"West End","Grosvenor Square",39.5,"Resident Bay","18"
"West End","Grosvenor Square",NA,"Pay by Phone Bay",NA
"West End","Grosvenor Street",43.2,"Shared Use Bay","41"
"West End","Grosvenor Street",30.3,"Pay by Phone Bay","33"
"Regent's Park","Grove End Road",72.2,"Resident Bay","82"
"Abbey Road","Grove End Road",72.2,"Resident Bay","82"
"Abbey Road","Grove End Road",83.2,"Shared Use Bay","6"
"Abbey Road","Grove End Road",65.9,"Pay by Phone Bay","4"
"Regent's Park","Grove Gardens",81.8,"Resident Bay","4"
"Warwick","Guildhouse Street",72.4,"Resident Bay","35"
"Warwick","Guildhouse Street",67.3,"Shared Use Bay","10"
"Warwick","Guildhouse Street",77.3,"Pay by Phone Bay","2"
"West End","Half Moon Street",42.5,"Pay by Phone Bay","11"
"West End","Half Moon Street",77,"Resident Bay","8"
"Knightsbridge and Belgravia","Halkin Place",65.9,"Resident Bay","7"
"Knightsbridge and Belgravia","Halkin Place",54.4,"Pay by Phone Bay","3"
"Knightsbridge and Belgravia","Halkin Street",14.7,"Pay by Phone Bay","11"
"Knightsbridge and Belgravia","Halkin Street",61.8,"Shared Use Bay","6"
"Knightsbridge and Belgravia","Halkin Street",60.5,"Resident Bay","21"
"Little Venice","Hall Place",99.9,"Shared Use Bay","9"
"Little Venice","Hall Place",93.2,"Resident Bay","33"
"Regent's Park","Hall Road",90.2,"Resident Bay","21"
"Regent's Park","Hall Road",93.7,"Pay by Phone Bay","9"
"Regent's Park","Hall Road",79,"Shared Use Bay","7"
"Abbey Road","Hall Road",90.2,"Resident Bay","21"
"Abbey Road","Hall Road",93.7,"Pay by Phone Bay","9"
"Abbey Road","Hall Road",79,"Shared Use Bay","7"
"Marylebone High Street","Hallam Mews",81.8,"Resident Bay","1"
"West End","Hallam Street",76.3,"Resident Bay","49"
"West End","Hallam Street",47.5,"Pay by Phone Bay","11"
"Marylebone High Street","Hallam Street",47.5,"Pay by Phone Bay","11"
"Marylebone High Street","Hallam Street",76.3,"Resident Bay","49"
"Abbey Road","Hamilton Gardens",77.9,"Resident Bay","65"
"Abbey Road","Hamilton Gardens",68.2,"Pay by Phone Bay","2"
"West End","Hamilton Place",68.2,"Pay by Phone Bay","10"
"West End","Hamilton Place",45,"Resident Bay","11"
"Regent's Park","Hamilton Terrace",72.9,"Resident Bay","280"
"Regent's Park","Hamilton Terrace",69.7,"Shared Use Bay","68"
"Regent's Park","Hamilton Terrace",64.6,"Pay by Phone Bay","15"
"Abbey Road","Hamilton Terrace",72.9,"Resident Bay","280"
"Abbey Road","Hamilton Terrace",69.7,"Shared Use Bay","68"
"Abbey Road","Hamilton Terrace",64.6,"Pay by Phone Bay","15"
"West End","Hanover Square",32.8,"Pay by Phone Bay","8"
"West End","Hanover Square",0,"Shared Use Bay","1"
"West End","Hanover Street",77.3,"Resident Bay","2"
"West End","Hanover Street",48,"Pay by Phone Bay","9"
"West End","Hanover Street",84.1,"Shared Use Bay","7"
"West End","Hanson Street",100,"Resident Bay","2"
"Marylebone High Street","Hanson Street",63.4,"Pay by Phone Bay","3"
"Marylebone High Street","Hanson Street",100,"Resident Bay","2"
"Bryanston and Dorset Square","Harcourt Street",87.7,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Harcourt Street",94.5,"Resident Bay","7"
"Bryanston and Dorset Square","Harewood Avenue",63.8,"Pay by Phone Bay","16"
"Bryanston and Dorset Square","Harewood Avenue",81.5,"Resident Bay","42"
"Bryanston and Dorset Square","Harewood Row",58.9,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Harewood Row",59.1,"Resident Bay","2"
"Marylebone High Street","Harley Place",75.2,"Resident Bay","9"
"West End","Harley Street",38.5,"Shared Use Bay","34"
"West End","Harley Street",39.1,"Pay by Phone Bay","29"
"Marylebone High Street","Harley Street",38.5,"Shared Use Bay","34"
"Marylebone High Street","Harley Street",59.1,"Resident Bay","4"
"Marylebone High Street","Harley Street",39.1,"Pay by Phone Bay","29"
"Hyde Park","Harrow Road",65,"Pay by Phone Bay","6"
"Hyde Park","Harrow Road",0,"Shared Use Bay","5"
"Queen's Park","Harrow Road",65,"Pay by Phone Bay","6"
"Bryanston and Dorset Square","Harrowby Street",87.3,"Pay by Phone Bay","5"
"Bryanston and Dorset Square","Harrowby Street",87.8,"Resident Bay","33"
"Bayswater","Hatherley Grove",84.1,"Resident Bay","33"
"Bayswater","Hatherley Grove",81.8,"Pay by Phone Bay","1"
"Church Street","Hatton Street",73,"Resident Bay","9"
"West End","Hay Hill",73.6,"Shared Use Bay","7"
"St. James's","Haymarket",94.3,"Pay by Phone Bay","8"
"West End","Hays Mews",81.6,"Pay by Phone Bay","3"
"West End","Hays Mews",90.6,"Resident Bay","9"
"Knightsbridge and Belgravia","Headfort Place",67.9,"Resident Bay","11"
"Regent's Park","Henderson Drive",100,"Resident Bay","6"
"Regent's Park","Henderson Drive",87.6,"Pay by Phone Bay","3"
